nationality_iso2,nationality_name,source_rank,persona_id,persona_label,primary_routes,dependent_visa_spouse,dependent_visa_child,treaty_routes_eligible,eb_backlog_flag,tps_status,notes
PH,Philippines,4,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E-2 derivative,,E-2,moderate_EB,,
PH,Philippines,4,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E-2 derivative,H-4|L-2|O-3,E-2,moderate_EB,,
SV,El Salvador,5,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,TPS_EXPIRING_SEP9_2026,"TPS expires Sep 9 2026; no DHS renewal announced as of Aug 11 2026"
SV,El Salvador,5,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,TPS_EXPIRING_SEP9_2026,
SV,El Salvador,5,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,TPS_EXPIRING_SEP9_2026,
SV,El Salvador,5,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,TPS_EXPIRING_SEP9_2026,"WATCH: if TPS lapses without renewal nationals lose work auth unless on nonimmigrant visa"
SV,El Salvador,5,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,TPS_EXPIRING_SEP9_2026,
SV,El Salvador,5,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,TPS_EXPIRING_SEP9_2026,
VN,Vietnam,6,1,student_single,F-1|M-1|J-1,,,NONE,,,No E-1/E-2/TN treaty
VN,Vietnam,6,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,,,
VN,Vietnam,6,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,,,
VN,Vietnam,6,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,,,
VN,Vietnam,6,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,,,
VN,Vietnam,6,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,,,
CU,Cuba,7,1,student_single,F-1|M-1|J-1,,,NONE,,,"No E-1/E-2 (US-Cuba embargo); no CHNV parole (terminated May 2025)"
CU,Cuba,7,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,,,
CU,Cuba,7,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,,,
CU,Cuba,7,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,,,"CHNV parole terminated — must use standard routes; no treaty investor/trader route"
CU,Cuba,7,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,,,
CU,Cuba,7,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,,,
DO,Dominican Republic,8,1,student_single,F-1|M-1|J-1,,,NONE,,,
DO,Dominican Republic,8,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,,,
DO,Dominican Republic,8,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,,,
DO,Dominican Republic,8,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,,,
DO,Dominican Republic,8,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,,,
DO,Dominican Republic,8,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,,,
GT,Guatemala,9,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
GT,Guatemala,9,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
GT,Guatemala,9,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
GT,Guatemala,9,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,"Guatemala never designated for TPS; no parole program"
GT,Guatemala,9,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
GT,Guatemala,9,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
KR,South Korea,10,1,student_single,F-1|M-1|J-1,,,E-2,,,E-2 only (no E-1 treaty)
KR,South Korea,10,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-2,,,
KR,South Korea,10,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-2,,,
KR,South Korea,10,4,professional_single,H-1B|L-1A|L-1B|O-1|E-2,,,E-2,,,"E-2 investor/treaty route available; no standard E-1 treaty"
KR,South Korea,10,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E-2 derivative,,E-2,,,
KR,South Korea,10,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E-2 derivative,H-4|L-2|O-3,E-2,,,
HN,Honduras,11,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,TPS_TERMINATED_SEP8_2025,"TPS terminated Sept 8 2025; litigation ongoing; 9th Circuit stay in effect"
HN,Honduras,11,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,TPS_TERMINATED_SEP8_2025,
HN,Honduras,11,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,TPS_TERMINATED_SEP8_2025,
HN,Honduras,11,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,TPS_TERMINATED_SEP8_2025,"Monitor litigation; advise clients to obtain nonimmigrant status as protection"
HN,Honduras,11,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,TPS_TERMINATED_SEP8_2025,
HN,Honduras,11,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,TPS_TERMINATED_SEP8_2025,
HT,Haiti,12,1,student_single,F-1|M-1|J-1,,,NONE,,TPS_TERMINATED_JUL27_2026,"TPS terminated July 27 2026; CHNV parole terminated May 2025"
HT,Haiti,12,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,,TPS_TERMINATED_JUL27_2026,
HT,Haiti,12,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,,TPS_TERMINATED_JUL27_2026,
HT,Haiti,12,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,,TPS_TERMINATED_JUL27_2026,"~330735 nationals affected by TPS termination; must obtain nonimmigrant status"
HT,Haiti,12,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,,TPS_TERMINATED_JUL27_2026,
HT,Haiti,12,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,,TPS_TERMINATED_JUL27_2026,
BR,Brazil,13,1,student_single,F-1|M-1|J-1,,,NONE,,,No E-1/E-2 treaty with US
BR,Brazil,13,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,NONE,,,
BR,Brazil,13,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,NONE,,,
BR,Brazil,13,4,professional_single,H-1B|L-1A|L-1B|O-1,,,NONE,,,"No treaty investor/trader route; H-1B or L-1 most common"
BR,Brazil,13,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,NONE,,,
BR,Brazil,13,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,NONE,,,
DE,Germany,14,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
DE,Germany,14,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
DE,Germany,14,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
DE,Germany,14,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,
DE,Germany,14,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
DE,Germany,14,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
GB,United Kingdom,15,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
GB,United Kingdom,15,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
GB,United Kingdom,15,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
GB,United Kingdom,15,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,
GB,United Kingdom,15,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
GB,United Kingdom,15,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
FR,France,16,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
FR,France,16,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
FR,France,16,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
FR,France,16,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,
FR,France,16,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
FR,France,16,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
CA,Canada,17,1,student_single,F-1|M-1|J-1,,,TN|E-1|E-2,,,USMCA/TN: no H-1B petition needed for qualifying professions
CA,Canada,17,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,TN|E-1|E-2,,,
CA,Canada,17,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,TN|E-1|E-2,,,
CA,Canada,17,4,professional_single,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,,,TN|E-1|E-2,,,"TN: no cap; no lottery; admitted at POE for Canadians"
CA,Canada,17,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|TN-TD|E derivative,,TN|E-1|E-2,,,
CA,Canada,17,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|TN|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|TN-TD|E derivative,H-4|L-2|O-3|TN-TD,TN|E-1|E-2,,,
JP,Japan,18,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
JP,Japan,18,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
JP,Japan,18,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
JP,Japan,18,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,
JP,Japan,18,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
JP,Japan,18,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
CO,Colombia,19,1,student_single,F-1|M-1|J-1,,,E-1|E-2,,,
CO,Colombia,19,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,E-1|E-2,,,
CO,Colombia,19,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,E-1|E-2,,,
CO,Colombia,19,4,professional_single,H-1B|L-1A|L-1B|O-1|E-1|E-2,,,E-1|E-2,,,
CO,Colombia,19,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,,E-1|E-2,,,
CO,Colombia,19,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1|E-1|E-2,H-4 (EAD if I-140 approved)|L-2|O-3|E derivative,H-4|L-2|O-3,E-1|E-2,,,
NG,Nigeria,20,1,student_single,F-1|M-1|J-1,,,UNCERTAIN (E-2 disputed),,,E-2 treaty status uncertain — some T1 sources conflict; verify before advising
NG,Nigeria,20,2,student_couple_nokids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),,UNCERTAIN,,,
NG,Nigeria,20,3,student_couple_kids,F-1|M-1|J-1,F-2|J-2 (J-2 EAD eligible),F-2|J-2,UNCERTAIN,,,
NG,Nigeria,20,4,professional_single,H-1B|L-1A|L-1B|O-1,,,UNCERTAIN,,,"Majority of sources exclude Nigeria from E-2 list; classified uncertain pending T1 verification"
NG,Nigeria,20,5,professional_couple_nokids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,,UNCERTAIN,,,
NG,Nigeria,20,6,professional_couple_kids,H-1B|L-1A|L-1B|O-1,H-4 (EAD if I-140 approved)|L-2|O-3,H-4|L-2|O-3,UNCERTAIN,,,
