supplier_id,name,website,missing
vc-3c8dc8e7-9015-42dc-9da0-b1ae751c0548,RE/MAX Immobiliari Uniti,https://www.remax.it/trova/agenti-agenzie/agenzia/immobiliariuniti,contact_email
vc-5fd19ca1-d10c-4ede-b8de-1cbad015883a,Realkasa — Immobiliare RK Andrea Costa Srl,https://www.realkasa.it,contact_email
vc-c4797a71-34df-4ec7-9a40-e58790f75948,Realkasa — Immobiliare RK Azeglio Srl,https://www.realkasa.it,contact_email
vc-8ec04f36-71f0-42fb-8fda-1066369761c4,Roma Real Estate — Studio Fori di Alessandro Mori,https://romarealestate.it,contact_email
vc-7fcd10fe-dd72-492a-bedd-6d72bd4e2a4b,Rubiolo Immobiliare,https://www.rubioloimmobiliare.com,contact_email
vc-8727047b-5b39-4df8-b4f3-02e1dd782afd,SIV Real Estate srl,https://www.sivtorino.it,contact_email
vc-5d008ef0-faa6-4550-bb1f-db3e26b4b6a9,Smith Agency S.r.l.,https://www.smithagency.it,contact_email
vc-cb76dd4f-3027-44b3-93c7-214005e82056,Studio Giannerini S.n.c. di Anna Maria Giannerini & C.,https://www.studiogiannerini.it,contact_email
vc-6be567f4-a144-4326-a740-06a5aaf2d61e,Studio Gran Madre,https://www.studiogranmadre.com,contact_email
vc-1dd9415a-8bc8-46f7-b3f4-943da365cd84,Tuscan Feeling RE srl,https://tuscanfeeling.com,contact_email
vc-e589cdd2-0e2a-4462-89ec-99dcefc6788c,Veronahome,https://veronahome.it,contact_email
vc-e5ee128a-0b5c-4a6a-93a2-2744f5e0b8cc,Welcome Home (Sforza S.r.l.),https://welcome-home.it,contact_email
vc-a48ac975-a394-4295-9ac8-be542803d8b3,Wolf and Wolf Srl,https://wolfandwolf.it,contact_email
